"date","NDVI","mission","type","year","yday","NDVIMissionPred","MissionResid","ReprojPred","NDVIReprojected"
2005-08-13,0.82221229313024,"landsat 5","forest",2005,225,0.785905221412876,0.0363070717173637,0.832761364906248,0.869068436623611
2005-08-20,0.797306824729274,"landsat 5","forest",2005,232,0.781861153724102,0.0154456710051721,0.830596637927127,0.846042308932299
2005-08-22,0.797306824729275,"landsat 5","forest",2005,234,0.780742432953854,0.0165643917754211,0.82982209965784,0.846386491433261
2005-08-29,0.798687727004817,"landsat 5","forest",2005,241,0.776515193915927,0.0221725330888899,0.826464758700695,0.848637291789584
2005-09-05,0.795602794420232,"landsat 5","forest",2005,248,0.770573863007166,0.0250289314130655,0.821768568747191,0.846797500160256
2005-09-07,0.767918314534042,"landsat 5","forest",2005,250,0.768269370661407,-0.000351056127364635,0.820078893399939,0.819727837272574
2005-09-14,0.724753662360562,"landsat 5","forest",2005,257,0.75687615581381,-0.0321224934532477,0.812371531594565,0.780249038141317
2005-09-21,0.719522119089145,"landsat 5","forest",2005,264,0.738459299749704,-0.018937180660559,0.800662869000424,0.781725688339865
2005-09-23,0.726940837485817,"landsat 5","forest",2005,266,0.731613097854671,-0.00467226036885415,0.796330278858237,0.791658018489383
2005-09-30,0.753379027341674,"landsat 5","forest",2005,273,0.701454831194572,0.0519241961471024,0.776815881349147,0.82874007749625
2005-10-07,0.751016830688316,"landsat 5","forest",2005,280,0.661478188862286,0.0895386418260303,0.749415528381349,0.83895417020738
2005-10-09,0.734972719528999,"landsat 5","forest",2005,282,0.648354555173963,0.086618164355036,0.740009771608666,0.826627935963702
2005-10-16,0.662060780330474,"landsat 5","forest",2005,289,0.597408005610194,0.06465277472028,0.701611758788556,0.766264533508836
2005-10-25,0.619602359762456,"landsat 5","forest",2005,298,0.524158511264565,0.0954438484978911,0.641542215070723,0.736986063568614
2005-11-01,0.47736281055039,"landsat 5","forest",2005,305,0.465538646356755,0.0118241641936346,0.590020256572308,0.601844420765943
2005-11-08,0.460138048931832,"landsat 5","forest",2005,312,0.409297026636568,0.0508410222952642,0.538799361081053,0.589640383376317
2005-11-10,0.39868129102927,"landsat 5","forest",2005,314,0.394078586906257,0.00460270412301322,0.524873316548057,0.529476020671071
2005-11-17,0.364381153686775,"landsat 5","forest",2005,321,0.344825364835967,0.0195557888508079,0.48082703664199,0.500382825492798
2005-11-24,0.359981930835466,"landsat 5","forest",2005,328,0.302656236777385,0.0573256940580809,0.446916071574966,0.504241765633047
2005-11-26,0.331797348658951,"landsat 5","forest",2005,330,0.291953741708372,0.039843606950579,0.439466914745315,0.479310521695894
2006-01-20,NA,"landsat 5","forest",2006,20,0.165733600042228,NA,0.413966269813136,NA
2006-01-27,0.131675591667076,"landsat 5","forest",2006,27,0.152915203273363,-0.0212396116062868,0.403048786333887,0.3818091747276
2006-02-05,0.201918198340205,"landsat 5","forest",2006,36,0.150282572701098,0.051635625639107,0.391585118924283,0.44322074456339
2006-02-14,0.27809817480777,"landsat 5","forest",2006,45,0.162008705907914,0.116089468899856,0.381265717035614,0.497355185935469
2006-02-21,0.248261872952043,"landsat 5","forest",2006,52,0.177568475385839,0.0706933975662039,0.372447876964829,0.443141274531033
2006-02-28,0.247992858734573,"landsat 5","forest",2006,59,0.195203260526866,0.0527895982077068,0.362262946653369,0.415052544861076
2006-03-02,0.255588986805678,"landsat 5","forest",2006,61,0.200241066099953,0.0553479207057253,0.359152297424026,0.414500218129752
2006-04-10,0.314925632979975,"landsat 5","forest",2006,100,0.317498285726429,-0.00257265274645363,0.380702742742118,0.378130089995664
2006-04-17,0.329751902923954,"landsat 5","forest",2006,107,0.360428821168249,-0.0306769182442947,0.423133083417361,0.392456165173066
2006-04-19,0.41280255729793,"landsat 5","forest",2006,109,0.374539915415807,0.0382626418821227,0.437721956358651,0.475984598240774
2006-04-26,0.518506731898253,"landsat 5","forest",2006,116,0.429438627988649,0.0890681039096041,0.49575198801487,0.584820091924474
2006-05-03,0.528683035087786,"landsat 5","forest",2006,123,0.490303617403669,0.0383794176841175,0.56089880326178,0.599278220945897
2006-05-05,NA,"landsat 5","forest",2006,125,0.508199624204819,NA,0.580030582295795,NA
2006-05-19,0.768904339961846,"landsat 5","forest",2006,139,0.628382828639262,0.140521511322584,0.705930861256046,0.84645237257863
2006-05-21,0.768904339961846,"landsat 5","forest",2006,141,0.643699872037634,0.125204467924212,0.721371617448622,0.846576085372834
2006-05-28,0.761252897703308,"landsat 5","forest",2006,148,0.691628726795988,0.06962417090732,0.767935665183219,0.837559836090539
2006-06-04,0.761996988565352,"landsat 5","forest",2006,155,0.729799366865361,0.032197621699991,0.801900204190621,0.834097825890612
2006-06-06,0.779013013925076,"landsat 5","forest",2006,157,0.738881033311091,0.0401319806139847,0.80930335446922,0.849435335083205
2006-06-13,0.799538048107345,"landsat 5","forest",2006,164,0.764669242233959,0.0348688058733857,0.827939329715116,0.862808135588502
2006-06-20,0.799538048107344,"landsat 5","forest",2006,171,0.78220907903824,0.0173289690691045,0.837243226611604,0.854572195680708
2006-06-22,NA,"landsat 5","forest",2006,173,0.785935441767952,NA,0.838610279356276,NA
2006-06-29,0.7912557104819,"landsat 5","forest",2006,180,0.795285561068279,-0.00402985058637884,0.84038196605349,0.836352115467112
